Commercial Fishing,Commcerical Landings,Commcerical Landings,Commercial Revenue
Landings and Revenue,Pounds,Metric Tons,U.S. Dollars
Gulf of Mexico,Gulf of Mexico,Gulf of Mexico,Gulf of Mexico
1950,570641100,258841,50357945
1951,649668300,294688,63623145
1952,759507100,344510,68220786
1953,759392700,344458,85157157
1954,754699900,342330,72572237
1955,829638900,376322,76286847
1956,899773800,408135,85377584
1957,691932900,313859,84363714
1958,808836600,366886,86539158
1959,1154950700,523882,77639851
1960,1265950869,574232,85458319
1961,1377111300,624654,75520083
1962,1438279415,652399,96924492
1963,1404021480,636860,101142296
1964,1331326072,603886,104463698
1965,1462764662,663506,113348529
1966,1194940297,542021,122178041
1967,1176279474,533557,125957769
1968,1288819496,584605,138608413
1969,1614144090,732171,152281695
1970,1622605345,736009,164769363
1971,2096180983,950821,199047842
1972,1587892600,720263,224450815
1973,1543735300,700234,266634944
1974,1775800000,805498,242225945
1975,1654036100,750266,270582479
1976,1742620920,790448,386432819
1977,1482431100,672426,408380520
1978,2234812529,1013704,484771571
1979,2098720176,951973,548750210
1980,1936940173,878590,507750184
1981,1680908069,762455,566622337
1982,2298388755,1042542,623903999
1983,2517003842,1141705,633459980
1984,2634960276,1195210,663383112
1985,2416974622,1096332,622336452
1986,2366908923,1073623,807085983
1987,2533038452,1148979,770473050
1988,1904394128,863828,714252198
1989,1780719928,807729,692346094
1990,1659732834,752850,667346642
1991,1672274707,758539,681223248
1992,1426004731,646832,655640926
1993,1717963001,779263,624459165
1994,2161422246,980415,790219742
1995,1488960975,675388,764269570
1996,1519937850,689439,714870658
1997,1811649757,821759,770716860
1998,1576300733,715005,786449596
1999,2004445898,909211,823364392
2000,1795395790,814386,997270263
2001,1613163314,731726,807403056
2002,1728898619,784223,681646425
2003,1595895410,723893,662902465
2004,1452121853,658678,641809625.8
2005,1193584910,541407,618033737.7
2006,1416966099,642732,682268830.1
2007,1410403004,639755,692443180.6
2008,1294855864,587343,674241336.7
2009,1597918545,724811,636320635.2
2010,1276068040,578821,604310341.6
2011,1768720243,802286,805845347.5
2012,1669006559,757056,781453403.8
2013,1351757697,613153,930694192
2014,1243723584,564149,1057432674
2015,1553292149,704569,853706070.3
2016,1737121436,787953,890086294.4
2017,1401487200,635710,872814049.2
2018,1543096907,699944,890570942.7
2019,1413255885,641049,828866977.3
2020,1221271981,553965,755359049.6
2021,1140663242,517401,923053756.3
2022,1381227364,626521,913107354.1
2023,1265729615,574131,794374981.4
